### Module positions - created on 10/11/2012 5:32:26 PM ###
### Printed by Pcbnew version pcbnew (2012-08-04 BZR 3667)-testing
## Unit = mm, Angle = deg.
## Side : All
# Ref    Val                  Package         PosX       PosY        Rot     Side
C1       100n             SM0603             22.6009    18.1000     270.0    Front
C2       100n             SM0603             27.5996    21.7983       0.0    Front
C3       100n             SM0603             26.2001    28.7985      90.0    Front
C4       100n             SM0603             22.9997    31.1480      90.0    Front
C5       100n             SM0603             15.3010    28.6004      90.0    Front
C6       100n             SM0603             14.5999    22.2987     180.0    Front
C7       2.2u             SM0603             16.3017    17.5997     270.0    Front
C8       100n             SM0603             15.1003    17.5997     270.0    Front
C9       2.2u             SM0603             18.9509    17.0002     180.0    Front
C10      100n             SM0603             18.9509    18.1991     180.0    Front
C11      100n             SM0603             16.6497    30.2489      90.0    Front
C12      15               SM0603              8.6004    21.1988      90.0    Front
C13      15               SM0603              8.6004    18.7985     270.0    Front
C14      10uF             SM0603             27.2009    11.6002     180.0    Front
C15      1uF              SM0805             43.1013     9.0983       0.0    Front
C16      1uF              SM0805             43.1013    11.8999       0.0    Front
C17      100n             SM0603             25.1993    71.7017     270.0    Front
C18      100n             SM0603             68.4200    49.8297       0.0    Front
C19      100n             SM0603             65.6006    55.8495     270.0    Front
C20      100n             SM0603             65.6006    64.7014      90.0    Front
C21      100n             SM0603             62.6008    55.8013     270.0    Front
C22      100n             SM0603             59.4512    59.4995     180.0    Front
C23      100n             SM0603             59.4512    60.7009     180.0    Front
C24      100n             SM0603             62.3011    64.7014      90.0    Front
C25      10n              SM0603             75.3008    70.2005      90.0    Front
C26      10n              SM0603             75.3008    59.1998     270.0    Front
C27      100n             SM0603             81.3689    51.2394     270.0    Front
C28      100n             SM0603             73.4619    51.4782      90.0    Front
C29      10uF             SM0603             85.1002    51.6001     270.0    Front
C30      1uF              SM0805             93.1012    63.7007       0.0    Front
C31      1uF              SM0805             93.2002    61.0006       0.0    Front
C32      10n              SM0603             26.4008     2.4994     180.0    Front
C33      100n             SM0603             17.8511    53.7997     180.0    Front
C37      100n             SM0603             29.3014    52.0497       0.0    Front
D1       LED_Green        SMD_LED_2x1        30.2997     3.2029     270.0    Front
D2       LED_Green        SMD_LED_2x1        85.1510    61.9023     270.0    Front
J1       PINHD-1X2        TH_PINHD-1X2_V     50.7670     9.9136      90.0    Front
J2       FX10B-80S/8-SV   SMD_FX10B-80S/8-   57.7190    24.3611      90.0    Front
J3       PINHD-1X2        TH_PINHD-1X2_V     50.7670     4.2113      90.0    Front
J4       MINI-USB-UX60A-M SMD_UX60A-MB-5ST   19.4996     6.3983      90.0    Front
J5       PINHD-1X2_RA     TH_PINHD-1X2_RA    32.0980    71.0032     270.0    Front
J6       SMA-142-0711-821 SMA-142-0711-821   62.9971    79.7509     270.0    Front
