scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.00787401574803,5,2,10
0.0157480314961,10,3,17
0.0236220472441,15,5,23
0.0314960629921,18,6,28
0.0393700787402,21,8,33
0.0472440944882,23,10,38
0.0551181102362,25,11,43
0.0629921259843,26,13,49
0.0708661417323,28,14,54
0.0787401574803,30,14,60
0.0866141732283,31,14,65
0.0944881889764,33,15,71
0.102362204724,35,15,77
0.110236220472,37,15,82
0.11811023622,38,15,88
0.125984251969,40,15,94
0.133858267717,42,15,100
0.141732283465,43,15,106
0.149606299213,45,15,112
0.157480314961,46,15,119
0.165354330709,47,14,125
0.173228346457,49,14,131
0.181102362205,50,13,138
0.188976377953,52,13,144
0.196850393701,53,12,150
0.204724409449,54,11,157
0.212598425197,55,10,164
0.220472440945,57,9,169
0.228346456693,62,7,173
0.236220472441,66,5,177
0.244094488189,71,3,180
0.251968503937,75,0,184
0.259842519685,79,0,188
0.267716535433,83,0,192
0.275590551181,87,0,195
0.283464566929,92,0,199
0.291338582677,96,0,203
0.299212598425,100,0,207
0.307086614173,104,0,210
0.314960629921,108,0,214
0.322834645669,112,0,218
0.330708661417,116,0,222
0.338582677165,120,0,226
0.346456692913,126,0,227
0.354330708661,137,0,216
0.362204724409,146,0,205
0.370078740157,155,0,194
0.377952755906,162,0,183
0.385826771654,169,0,173
0.393700787402,175,0,162
0.40157480315,181,0,152
0.409448818898,186,0,141
0.417322834646,191,0,131
0.425196850394,196,0,121
0.433070866142,200,0,110
0.44094488189,204,0,100
0.448818897638,208,0,90
0.456692913386,211,2,80
0.464566929134,214,11,69
0.472440944882,217,19,61
0.48031496063,219,28,61
0.488188976378,220,35,61
0.496062992126,222,42,61
0.503937007874,223,47,61
0.511811023622,225,52,61
0.51968503937,226,57,61
0.527559055118,227,61,61
0.535433070866,229,66,60
0.543307086614,230,70,60
0.551181102362,232,74,60
0.55905511811,233,77,60
0.566929133858,235,81,60
0.574803149606,236,85,60
0.582677165354,237,88,59
0.590551181102,239,92,59
0.59842519685,240,95,59
0.606299212598,242,99,58
0.614173228346,243,102,58
0.622047244094,244,105,58
0.629921259843,246,108,57
0.637795275591,247,112,57
0.645669291339,249,115,57
0.653543307087,250,118,56
0.661417322835,249,123,55
0.669291338583,249,127,54
0.677165354331,248,132,53
0.685039370079,247,136,53
0.692913385827,247,140,51
0.700787401575,246,144,50
0.708661417323,246,148,49
0.716535433071,245,152,48
0.724409448819,244,156,47
0.732283464567,243,160,45
0.740157480315,243,164,44
0.748031496063,242,168,42
0.755905511811,241,172,41
0.763779527559,240,176,39
0.771653543307,239,179,37
0.779527559055,238,183,35
0.787401574803,237,187,33
0.795275590551,236,190,31
0.803149606299,235,194,28
0.811023622047,234,198,25
0.818897637795,232,201,21
0.826771653543,231,205,17
0.834645669291,230,208,12
0.842519685039,229,212,14
0.850393700787,231,214,42
0.858267716535,233,216,59
0.866141732283,235,218,73
0.874015748031,237,220,86
0.88188976378,239,222,98
0.889763779528,241,224,110
0.897637795276,243,226,121
0.905511811024,244,229,131
0.913385826772,246,231,142
0.92125984252,247,233,153
0.929133858268,248,235,163
0.937007874016,250,237,173
0.944881889764,251,239,183
0.952755905512,252,242,194
0.96062992126,253,244,204
0.968503937008,253,246,214
0.976377952756,254,248,224
0.984251968504,254,250,235
0.992125984252,255,253,245
1.0,255,255,255
