### Module positions - created on 5/31/2013 12:12:40 PM ###
### Printed by Pcbnew version pcbnew (2013-03-19 BZR 4004)-stable
## Unit = mm, Angle = deg.
## Side : All
# Ref    Val                  Package         PosX       PosY        Rot     Side
C5       22pF             C_SM0402          113.5100  -110.1200     270.0    Front.Cu
C6       10nF             C_SM0402          118.0600  -118.1100       0.0    Front.Cu
C11      0.1uF            C_SM0402          135.4250  -119.7000      90.0    Front.Cu
C12      0.1uF            C_SM0402          156.5000  -119.7000      90.0    Front.Cu
C13      0.1uF            C_SM0402          136.1750  -119.7000      90.0    Front.Cu
C14      0.1uF            C_SM0402          157.2000  -119.7000      90.0    Front.Cu
C53      0.1uF            C_SM0402          124.0800  -127.3500      90.0    Front.Cu
C54      220pF            C_SM0402          111.3500  -113.8000     270.0    Front.Cu
C61      0.1uF            C_SM0402          117.2750  -110.1500     180.0    Front.Cu
C62      0.1uF            C_SM0402          117.2750  -108.5000     180.0    Front.Cu
C63      0.1uF            C_SM0402          113.3000  -117.5000     270.0    Front.Cu
C64      10nF             C_SM0402          116.2000  -101.2000     180.0    Front.Cu
C65      22pF             C_SM0402          115.4750  -105.6000     270.0    Front.Cu
C66      22pF             C_SM0402          112.0250  -110.5750       0.0    Front.Cu
D1       Green            LD_0603           163.9000  -124.6000     270.0    Front.Cu
D2       Green            LD_0603           163.9000  -127.8000      90.0    Front.Cu
D3       Yellow           LD_0603           114.2500   -74.4500       0.0    Front.Cu
D4       Yellow           LD_0603           114.2500   -76.1000       0.0    Front.Cu
D5       Yellow           LD_0603           114.2500   -77.7500       0.0    Front.Cu
D6       Yellow           LD_0603           117.7500   -74.4500     180.0    Front.Cu
D7       Yellow           LD_0603           117.7500   -76.1000     180.0    Front.Cu
D8       Yellow           LD_0603           117.7500   -77.7500     180.0    Front.Cu
D9       Green            LD_0603           119.5500  -109.3250      90.0    Front.Cu
Fiducial VAL**            Fiducial          144.6000  -127.1000       0.0    Front.Cu
Fiducial VAL**            Fiducial          126.0000   -69.2000       0.0    Front.Cu
Fiducial VAL**            Fiducial          165.4000   -69.7000       0.0    Front.Cu
G***     LOGO             DigiRED_Logo      116.9000   -70.6000       0.0    Front.Cu
J1       CONN_2X1         TH_PINHD-1X2_RA   165.0000  -113.0000       0.0    Front.Cu
J2       CONN_2X1         TH_PINHD-1X2_RA   165.0000   -83.5000     180.0    Front.Cu
R1       470              R_SM0402          118.4750  -111.8250      90.0    Front.Cu
R2       10K              R_SM0402          114.4250  -110.1500     270.0    Front.Cu
R3       0                R_SM0805          113.9000  -120.1100     180.0    Front.Cu
R4       0                R_SM0805          119.0600  -120.1100       0.0    Front.Cu
R5       0                R_SM0402          120.4800  -118.5200     180.0    Front.Cu
R6       22               R_SM0402          119.3250  -113.6250     180.0    Front.Cu
R7       22               R_SM0402          119.3500  -114.5500     180.0    Front.Cu
R8       0                R_SM0402          120.0500  -105.6250      90.0    Front.Cu
R9       0                R_SM0402          118.2000  -105.6200      90.0    Front.Cu
R10      0                R_SM0402          114.1250  -117.5250     270.0    Front.Cu
R11      10K              R_SM0402          150.5500  -115.2000     180.0    Front.Cu
R12      10K              R_SM0402          145.3000  -100.5000     270.0    Front.Cu
R13      0                R_SM0402          144.4000  -100.5000     270.0    Front.Cu
R14      10K              R_SM0402          157.6500   -92.2000     180.0    Front.Cu
R15      10K              R_SM0402          146.6000   -80.6000     270.0    Front.Cu
