FFTOut.csv,,,Created,02/02/15,Time Zn,UT-5,
KHz
,546.87500,625.00000,703.12500,781.25000,859.37500,937.50000,1015.62500,1093.75000,1171.87500,1250.00000,1328.12500,1406.25000,1484.37500
12:17:46:637,4.16,2.65,1.32,0.768,1.93,1.95,1.75,5.51,3.71,5.28,1.97,2.41,4.74,
12:17:46:817,3.57,3.63,3.13,2.22,1.69,1.85,2.98,4.07,3.68,5.11,1.63,3.28,3.92,
12:17:46:980,3.22,5.58,4.1,2.73,1.24,3.07,2.18,3.13,3.62,2.9,3.17,2.42,5.43,
12:17:47:159,2.78,5.76,3.4,3.23,1.74,2.01,1.77,2.96,3.16,2.83,3.59,2.99,4.36,
12:17:47:329,1.52,4.16,0.825,3.59,0.0712,2.53,2.66,3.83,2.54,1.08,1.47,4.07,2.24,
12:17:47:480,1.55,2.43,0.871,4.58,4.37,4.1,3.64,3.18,2.35,4.07,0.115,3.05,2.45,
12:17:47:639,4.35,2.01,1.84,3.19,4.83,3.34,3.72,2.9,3.15,5.42,3.11,3.67,3.34,
12:17:47:816,4.51,2.88,2.15,2.03,3.36,1.83,1.86,1.23,2.37,4.14,3.15,3.06,2.83,
12:17:47:992,3.02,3.31,2.7,2.79,4.42,1.96,1.58,1.99,2.01,2.96,-0.00336,3.41,2.65,
12:17:48:171,4.65,4.37,2.35,3.83,4.27,1.56,1.79,2.46,2.35,2.92,2.09,4.8,3,
12:17:48:348,4.53,5.35,2.48,3.97,5.17,4.1,2.8,2.06,3.36,2.91,4.35,4.34,3.21,
12:17:48:512,3.58,3.29,2.69,4.39,4.66,4.37,4.72,2.03,4.17,2.76,3.81,3.13,4.02,
12:17:48:670,2.71,2.95,0.737,3.47,3.19,2.55,3.81,2.04,2.92,2.54,3.11,4.08,4.72,
12:17:48:834,1.65,4.52,3.25,0.17,3.08,3.1,1.74,2.79,2.35,3.25,4.03,5.03,4.39,
12:17:49:19,1.52,2.96,5.03,2.68,3.74,3.65,1.79,2.2,4.8,1.88,3.23,2.59,5.28,
12:17:49:190,1.3,2.49,3.7,4.05,2.88,3.82,2.95,0.43,4.19,0.742,2.9,-0.973,4.6,
12:17:49:367,2.65,2.89,3.97,4.53,2.1,1.64,4.3,2.11,2.9,3.21,3.47,2.18,3.29,
12:17:49:536,2.45,4.06,5.06,6,3.01,-0.156,4.6,2.9,3.05,4.74,3.84,3.06,3.32,
12:17:49:709,0.788,4.57,4.58,6.07,2.9,4.24,3.81,2.29,1.4,5.61,4.08,4.23,0.489,
12:17:49:886,0.318,2.84,2.61,3.83,4.35,4.26,5.31,2.42,4.3,4.57,4.53,4.58,1.75,
12:17:50:61,1.06,4.25,4.52,1.53,4.18,1.33,4.97,3.02,4.2,2.14,5.41,2.92,2.36,
12:17:50:236,0.894,5.05,4.68,2.5,1.46,1.88,1.31,2.22,1.96,1.28,4,4.18,3,
12:17:50:412,0.553,2.91,4.14,4.64,3.49,1.58,1.99,1.84,2.34,1.77,1.71,4.93,2.92,
12:17:50:584,1.34,3.41,4.63,4.27,3.75,2.08,3.22,1.65,3.09,3.19,2.88,3.62,2.21,
12:17:50:761,2.32,2.94,2.54,1.81,3.71,2.63,3.43,-0.363,5.23,3.85,3.75,2.81,5.18,
12:17:50:937,3.12,1.86,1.41,1.7,4.5,3.32,2.2,2.2,4.61,2.46,4.28,3.62,4.8,
12:17:51:112,3.85,2.33,3.21,3.42,2.96,3.44,2.54,3.86,4.34,0.317,3.5,2.74,3.02,
12:17:51:283,1.97,1.57,3,3.09,4.05,1.5,3.7,3.57,4.71,2.06,1.57,1.62,5.02,
12:17:51:460,2.46,3.93,1.53,3.67,4.04,1.71,3.8,2.62,3.17,3.13,0.194,0.617,5.71,
12:17:51:650,3.48,4.43,2.65,4.06,2.8,2.36,3.5,2.35,1.42,2.46,0.335,0.888,4.43,
12:17:51:825,3.25,3.29,3.21,1.66,3.93,2.37,3.83,3.41,3.67,3.17,-0.195,1.88,3.37,
12:17:52:3,3.79,4.92,3.2,1.18,4.23,4.44,4.28,4.32,4.46,2.57,-0.0623,2.42,2.87,
12:17:52:182,3.09,5.51,2.92,5.64,2.44,5.62,3.36,3.25,4.13,0.552,3.06,1.79,3.67,
12:17:52:356,3.25,3.81,2.83,6.91,1.61,4.42,3.11,2.65,3.97,3.34,4.89,3.3,5.3,
12:17:52:538,3.85,2.46,1.88,4.6,3.51,2.01,3.93,2.4,2.78,4.29,3.57,3.27,4.96,
12:17:52:706,4.06,4.57,2.22,2.62,4.71,3.04,4.34,1.54,3.56,3.11,0.375,1.58,2.7,
12:17:52:874,2.15,4.72,3.39,2.27,4.28,4.68,3.96,3.43,4.06,2.9,2.07,2.64,-0.165,
12:17:53:72,2.08,2.85,2.96,2.59,4.03,4.82,5,4.05,4.52,1.4,3.67,2.18,3.31,
12:17:53:274,3.19,2.36,1.26,2.23,3.65,4.11,5.2,2.88,3.95,0.956,4.46,1.9,4.02,
12:17:53:472,2.72,1.14,2.26,3.46,2.51,2.9,2.35,3.61,3.16,1.96,4.66,3.89,3.53,
12:17:53:674,2.29,1.47,3.41,4.99,0.88,2.11,3.34,3.55,2.64,3.86,3.46,4.57,3.75,
12:17:53:873,3.71,0.353,2.9,2.48,0.672,-0.474,4.13,1.34,3.23,4.14,3.03,2.89,2.96,
12:17:54:56,3.89,-0.0813,4.7,0.171,3.74,0.591,2.77,0.76,3.73,2.47,3.1,2.75,2.77,
12:17:54:262,3.1,3.19,5.68,3.66,3.92,1.94,3.27,1.92,2.4,3.47,0.412,3.28,1.22,
12:17:54:465,4.38,3.2,4.23,3.93,3.9,3.4,4.6,3.98,2.33,3.96,2.24,2.46,1.22,
12:17:54:663,4.03,2.32,3.03,2.25,4.81,4.45,3.91,5.19,3.9,3.64,4.94,0.617,4.25,
12:17:54:861,2.47,1.61,2.91,1.34,3.24,2.83,2.09,4.68,4,3.65,3.64,0.831,5.16,
12:17:55:83,4.03,1.13,4.33,2.67,1.94,2.6,1.37,2.29,4.35,2.63,2.53,2.7,5.27,
12:17:55:258,4.17,3.84,4.85,4.12,3.65,2.69,1.76,3.1,4.8,1.97,3.55,3.7,4.25,
12:17:55:408,2.9,3.79,3.07,3.41,4.14,3.28,2.49,4.63,3.2,3.53,2.22,2.79,2.59,
12:17:55:568,2.63,1.42,2.76,1.68,4.02,1.96,2.59,3.88,2.91,4.6,3.03,1.05,2.38,
12:17:55:726,2.5,0.808,3,2.37,3.01,-0.246,2.9,2.21,3.07,4.27,3.6,2.06,1.96,
12:17:55:875,2.92,1.78,1.2,1.91,2.08,2.26,2.7,1.91,2.54,3.84,2.72,1.38,4.76,
12:17:56:27,2.05,3.7,2.25,2.77,1.3,3.42,2.13,2.7,4.45,4.61,4.63,2.86,4.45,
12:17:56:178,0.441,4.12,3.55,4.15,3.27,1.76,1.47,3.94,4.17,3.32,4.84,4.15,1.12,
12:17:56:330,3.76,3.03,2.79,3.01,3.43,-1.04,1.33,4.69,4.19,3.41,2.46,3.59,1.75,
12:17:56:487,4.41,3.57,1.79,3.65,1.46,1.61,1.35,2.77,3.93,3.44,1.2,1.86,2.85,
12:17:56:635,0.683,3.22,4.71,4.36,2.22,3.14,1.59,-1.43,1.4,2.27,2.34,2.16,3.87,
12:17:56:784,1.29,0.806,4.49,3.79,1.07,2.3,2.18,-0.441,1.02,3.56,2.85,2.5,3.46,
12:17:56:932,3.63,0.34,0.385,3.25,2.61,1.43,2.49,1.26,2.69,4.27,1.19,2.02,2.01,
12:17:57:79,3.53,2.67,2.06,4.7,4.62,3.57,2.04,3.58,3.45,4.48,1.87,3.31,1.8,
12:17:57:229,2.42,3.89,3.39,3.93,3.43,4.78,3.42,3.56,2.27,4.02,3.79,1.52,3.58,
12:17:57:383,1.12,3.56,1.83,1.88,1.47,3.68,4.31,2.77,3,4.04,3.47,3.19,4.86,
12:17:57:529,0.821,3.35,-2.44,2.95,2.55,3.74,2.85,2.91,2.31,4.7,1.54,4.39,4.17,
