### Module positions - created on 10/22/2013 6:27:08 PM ###
### Printed by Pcbnew version pcbnew (2013-07-07 BZR 4022)-stable
## Unit = mm, Angle = deg.
## Side : All
# Ref    Val                  Package         PosX       PosY        Rot     Side
C9       0.33UF_0603      C_SM0603          104.7800   -84.8800     270.0    F.Cu
C10      10UF_0603        C_SM0603          100.2400   -76.9700      90.0    F.Cu
C11      22NF_0402        C_SM0402           97.5900   -91.0300     270.0    F.Cu
C12      22PF_0402        C_SM0402          100.3400   -91.0300     270.0    F.Cu
C13      22UF_0805        C_SM0805          104.7800  -100.0800     270.0    F.Cu
C14      2.2NF_0402       C_SM0402           99.6000   -94.6000       0.0    F.Cu
C15      1uF_C_SM0805     C_SM0805           99.8500  -109.0400     180.0    F.Cu
C16      1uF_C_SM0805     C_SM0805           97.6900  -118.8300     270.0    F.Cu
C17      10UF_0603        C_SM0603          107.7500  -112.4700       0.0    F.Cu
C29      10NF_0402        C_SM0402          169.4000  -126.2000     180.0    F.Cu
C40      100NF_0402       C_SM0402          147.7400  -130.9300     270.0    F.Cu
D1       TS4148           D_SM0805          104.7800   -91.5000     180.0    F.Cu
D2       20BQ030          D_SMB             108.2300   -81.3600     270.0    F.Cu
D3       LED              LD_0603           111.8000  -126.0000       0.0    F.Cu
D4       LED              LD_0603           131.4000  -132.6000       0.0    F.Cu
D5       LED              LD_0603           169.8000  -131.4000       0.0    F.Cu
D6       LED              LD_0603           158.9500  -122.5200       0.0    F.Cu
Fiducial VAL**            Fiducial           96.9500  -132.5750       0.0    F.Cu
Fiducial VAL**            Fiducial          162.2250   -56.8500       0.0    F.Cu
Fiducial VAL**            Fiducial           97.2750   -58.9000       0.0    F.Cu
J1       FX10B-80S/8-SV   FX10B_80S_8_SV    132.8100   -96.9500      90.0    F.Cu
J2       FX10B-80S/8-SV   FX10B_80S_8_SV    152.1900   -96.0500     270.0    F.Cu
J6       MINI-USB-UX60A-M SMD_UX60A-MB-5ST  161.2000  -127.6000      90.0    F.Cu
J7       PINHEADER2X25    PinHeader2x25SMD  110.7400   -65.3000      90.0    F.Cu
L1       22UH_XAL60XX_SER XAL60xx_series     96.7800   -65.8800      90.0    F.Cu
MyriadRF FX10A - HSMC / P MyriadRF_frame    128.0000  -121.0000       0.0    F.Cu
R3       330R_0402        R_SM0402          147.7400  -128.9500      90.0    F.Cu
R7       10K_0402         R_SM0402          149.1600  -129.8900      90.0    F.Cu
R14      0R_0402          R_SM0402          102.8200   -76.3600      90.0    F.Cu
R15      22K1_0402        R_SM0402          101.6900   -91.0300      90.0    F.Cu
R16      28K_0402         R_SM0402           98.8900   -91.0300     270.0    F.Cu
R17      15K8_0402        R_SM0402           98.3400   -76.8900      90.0    F.Cu
R18      5K49_0402        R_SM0402          102.8900   -90.1100      90.0    F.Cu
R19      FR_0805          R_SM0805           97.6900  -112.6200     270.0    F.Cu
R20      470R_0402        R_SM0402          108.3400  -126.0000       0.0    F.Cu
R21      470R_0402        R_SM0402          156.1100  -122.5200       0.0    F.Cu
R22      0R_0402_NF       R_SM0402          146.3300  -107.7300       0.0    F.Cu
R39      0R_0402_NF       R_SM0402          144.2700  -106.7600       0.0    F.Cu
R50      100K_0603        SM0603            169.6000  -128.6000       0.0    F.Cu
R78      0R_0402          R_SM0402          146.8000  -109.3900     270.0    F.Cu
R79      0R_0402          R_SM0402          144.7400  -109.4300     270.0    F.Cu
R80      0R_0402          R_SM0402          146.2200  -127.9400      90.0    F.Cu
R84      0R_0603          R_SM0402          146.4000   -68.9500     180.0    F.Cu
R85      0R_0603_NF       R_SM0402          147.3300   -69.9900       0.0    F.Cu
R86      0R_0603          R_SM0402          148.2700   -71.5600       0.0    F.Cu
R87      0R_0603          R_SM0402          149.6200   -68.8800     180.0    F.Cu
R88      0R_0603_NF       R_SM0402          150.5600   -70.0000       0.0    F.Cu
R89      0R_0603          R_SM0402          151.5000   -71.5900       0.0    F.Cu
R90      0R_0402_NF       R_SM0402          145.7500  -129.7200       0.0    F.Cu
SW1      SW               Switch_2way       100.8000   -99.2000     270.0    F.Cu
SW2      SW               Switch_2way       151.8700  -130.9100      90.0    F.Cu
U6       SC4524           SOIC-8            101.6500   -81.4200     270.0    F.Cu
U7       LDO1117          SOT223-3L         103.4800  -115.6300     270.0    F.Cu
Via5.3   VAL**            Via5.3            118.6000  -110.8000       0.0    F.Cu
C1       100n_C_SM0603    C_SM0603          139.5200  -105.3500      90.0    B.Cu
C2       100n_C_SM0603    C_SM0603          119.9000  -113.3000      90.0    B.Cu
C3       100n_C_SM0603    C_SM0603          138.2600   -92.9200     270.0    B.Cu
C4       100n_C_SM0603    C_SM0603          140.0000   -84.2000      90.0    B.Cu
C5       100n_C_SM0603    C_SM0603          145.3300   -93.0600     270.0    B.Cu
C6       100n_C_SM0603    C_SM0603          143.3200   -93.0600     270.0    B.Cu
C7       100n_C_SM0603    C_SM0603          140.3700   -92.9500     270.0    B.Cu
C8       100n_C_SM0603    C_SM0603          141.6000   -84.2000      90.0    B.Cu
C18      1UF_0402         C_SM0402          162.4500   -68.2500      90.0    B.Cu
C19      10NF_0402        C_SM0402          121.4000  -125.8000     180.0    B.Cu
C20      10NF_0402        C_SM0402          121.4000  -124.4000       0.0    B.Cu
C21      10NF_0402        C_SM0402          125.2000  -132.0000     270.0    B.Cu
C22      10NF_0402        C_SM0402          123.8000  -132.0000     270.0    B.Cu
C23      10NF_0402        C_SM0402          128.4000  -130.2000       0.0    B.Cu
C24      220PF_0402       C_SM0402          128.4000  -128.8000       0.0    B.Cu
C25      22PF_0402        C_SM0402          127.7100  -123.1600       0.0    B.Cu
C26      22PF_0402        C_SM0402          127.7000  -126.1900       0.0    B.Cu
